SourceData,TagID,SiteID,NowDis,State,CreateTimeStr,Sn,Azimuth,Elevation,
FF FF FF FF 00 25 00 0B 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 45 CE 00 00 00 AF,779,779,13,4660,2026-04-15 08:24:53.462,837,0,0,
FF FF FF FF 00 25 00 0C 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 46 CE 00 00 00 AB,779,779,13,4660,2026-04-15 08:24:53.523,838,0,0,
FF FF FF FF 00 25 00 0E 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0E 00 00 00 00 12 34 03 48 CD 00 00 00 A7,779,779,14,4660,2026-04-15 08:24:55.062,840,0,0,
FF FF FF FF 00 25 00 00 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0B 00 00 00 00 12 34 03 3A CF 00 00 00 DC,779,779,13,4660,2026-04-15 08:24:57.058,842,359,0,
FF FF FF FF 00 25 00 10 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 01 67 00 00 12 34 03 4A CF 00 00 00 DC,779,779,13,4660,2026-04-15 08:24:57.058,842,359,0,
FF FF FF FF 00 25 00 01 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 3B D0 00 00 00 C5,779,779,13,4660,2026-04-15 08:24:52.860,827,0,0,
FF FF FF FF 00 25 00 02 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0F 00 00 00 00 12 34 03 3C CF 00 00 00 DC,779,779,15,4660,2026-04-15 08:24:52.890,828,0,0,
FF FF FF FF 00 25 00 03 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 3D CC 00 00 00 DD,779,779,13,4660,2026-04-15 08:24:52.935,829,0,0,
FF FF FF FF 00 25 00 04 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 01 67 00 00 12 34 03 3E CE 00 00 00 BD,779,779,13,4660,2026-04-15 08:24:52.995,830,359,0,
FF FF FF FF 00 25 00 05 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 01 67 00 00 12 34 03 3F CE 00 00 00 BD,779,779,13,4660,2026-04-15 08:24:53.100,831,359,0,
FF FF FF FF 00 25 00 06 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 40 CE 00 00 00 A7,779,779,13,4660,2026-04-15 08:24:53.190,832,0,0,
FF FF FF FF 00 25 00 07 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 41 D1 00 00 00 B8,779,779,13,4660,2026-04-15 08:24:53.205,833,0,0,
FF FF FF FF 00 25 00 08 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 42 D0 00 00 00 B5,779,779,13,4660,2026-04-15 08:24:53.296,834,0,0,
FF FF FF FF 00 25 00 09 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 43 CF 00 00 00 AA,779,779,13,4660,2026-04-15 08:24:53.341,835,0,0,
FF FF FF FF 00 25 00 0A 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 44 CE 00 00 00 AF,779,779,13,4660,2026-04-15 08:24:53.386,836,0,0,
FF FF FF FF 00 25 00 0B 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 45 CE 00 00 00 AF,779,779,13,4660,2026-04-15 08:24:53.462,837,0,0,
FF FF FF FF 00 25 00 0C 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 00 00 00 00 12 34 03 46 CE 00 00 00 AB,779,779,13,4660,2026-04-15 08:24:53.523,838,0,0,
FF FF FF FF 00 25 00 0E 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0E 00 00 00 00 12 34 03 48 CD 00 00 00 A7,779,779,14,4660,2026-04-15 08:24:55.062,840,0,0,
FF FF FF FF 00 25 00 00 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0B 00 00 00 00 12 34 03 3A CF 00 00 00 DC,779,779,13,4660,2026-04-15 08:24:57.058,842,359,0,
FF FF FF FF 00 25 00 10 20 01 01 02 00 00 03 0B 00 00 03 0B 00 00 00 0D 01 67 00 00 12 34 03 4A CF 00 00 00 DC,779,779,13,4660,2026-04-15 08:24:57.058,842,359,0,
